id	key	title	text	once	input_text	choices	failure	extinct
1	opening		Bordel, comment j'en suis arrivé là...%nIl a fallu que je suive cette piste et que j'ouvre cette mallette nucléaire.%nForcément elle était déjà amorcée,si j'en crois l'horloge, il me reste 30 seconde pour trouver une solution...%nSinon je pars en fumé... Et avec moi, la ville entière.%nJ'imagine que le pays dans lequel je suis n'appréciera pas qu'un étranger ait fait exploser sa capitale.%nÀ mon avis, si je ne désamorce pas cette bombe, c'est une troisième guerre mondiale qui va démarrer.			2,5		
2	phone_look	Regarder mon téléphone	Il doit bien y avoir quelqu'un qui peut m'aider !			3,4,17		
3	phone_contact	Ouvrir mes contacts	- Camille%n- Darling%n- Kevin%n- Nicolas%n%nEntrez un nom de contact :		true	camille=43,darling=10,kevin=28,nicolas=55	9	
4	phone_call	Appeler un numéro	Entrez un nom de contact ou un numéro de téléphone :		true	555-365514=72,555-452610=75,555-765344=81	9	
5	bomb_defuse	Désamorcer la bombe	Vous entrez le mot de passe :		true	6788SEFG=84	6	
6	game_over		La bombe explose.				7,8	
7	restart_first	...	Que s'est-il passé ?%nPourquoi je suis encore là !%nLa bombe est toujours là elle aussi et l'horloge indique de nouveau 30 secondes.%nPas le temps de comprendre, il faut que je me dépêche de trouver une solution pour ne pas crever !			2,5		
8	restart_next	C'est reparti...	Me revoilà face à la bombe... et 30 nouvelles secondes pour trouver une solution.			2,5		
9	unknow_number		Le numéro que vous essayez de joindre n'est pas attribué.			3,4,17		
10	love_call		Allo mon amour, pourquoi tu m'appelles ? Tu sais bien que je ne suis pas disponible à cette heure-ci ?	true		11,12,13,19,22	18	
11	love_howareyou	Comment c'est passé ta journée ?	Tu veux vraiment savoir ça maintenant ? Je pars en réunion dans deux minutes.	true		11,12,13,19,22	21	
12	love_iloveyou	Je t'aime.	Oui je sais, moi aussi ! Mais c'est pas le moment-là, tu sais bien que cette réunion est importante pour moi.	true		11,12,13,19,22	21	
13	love_truth1	Je vais mourir...	Qu'est-ce qu'il y a, tu as attrapé un rhume ?	true		14		
14	love_truth2	Non vraiment, je suis devant une bombe et je ne sais pas comment la désamorcer.	Arrête ce n'est pas drôle !			15,16		
15	love_thuth3	Darling, je ne rigole pas.	Tu me fais peur là. Mais pourquoi tu m'appelles-moi, personne ne peut t'aider ?					
16	love_thuth4	Excuse-moi, je voulais juste te parler un peu.	Super, maintenant c'est fait. Bon vite, je dois vraiment partir en réunion là !			11,12,13,19,22	21	
17	phone_exit	Ranger le téléphone	Vous levez la tête de votre téléphone.%nLa bombe est toujours là...			2,5		
18	phone_noanswer		Le téléphone sonne, mais personne ne répond.			3,4,17		
19	love_talk	Dire quelque chose...	Vous lui dites :		true	82AD276=24	20	
20	love_talkerror_first		Mon amour, mais qu'est-ce que tu racontes ?			11,12,13,19,22	21	
21	love_exit		Mince, on m'appelle. Bon je dois raccrocher, bisous mon amour !%n*clac*			3,4,17		10
22	love_hangout	Raccrocher	Darling, je dois te laisser, bisous.%n*clac*			3,4,17		10
23	love_thuth5	Je ne sais pas quoi faire, qui saurait désamorcer une bombe ?	Écoute je ne sais pas si c'est une blague, mais si tu ne déconnes pas, appelle Samuel.%nC'est un ami qui connait un gars que bosse au déminage. Il devrait pouvoir t'aider, son numéro est le 555-365514.			11,12,13,19,22		
24	love_thuth6		Mon amour comment as-tu eu ce numéro ?%nComment sais-tu que je travaille pour la CIA ?			25		
25	love_thuth7	Ce n'est pas le problème, j'ai besoin du numero du président tout de suite !	Tu me prends pour qui, tu crois vraiment que j'ai le numéro du président ?! Ce n'est pas le genre d'infos qu'on donne, même à un agent du CIA. Après... Non c'est trop risqué...			26		
26	love_thuth8	Qu'est-ce qui est trop risqué, j'ai une bombe nucléaire devant moi et j'ai besoin du président pour la désamorcer !	Je risque mon poste là ! Bon je peux te passer le numéro du ministre Hubert ! Bon ça m'étonnerait que ce con te dise quoi que ce soit et encore moins le numéro du président, mais c'est la seule chose que je peux faire pour toi. Son numéro est le 555-452610.			27		
